,city_ascii,lat,lng,admin_name,population
9291,Tadaoka-higashi,34.4871,135.4014,Osaka,16628.0
9518,Kawai,34.5783,135.7367,Nara,16983.0
9572,Oyamazaki,34.9028,135.6885,Kyoto,15991.0
9620,Toyoyama,35.2505,136.9121,Aichi,15729.0
11848,Izumisano,34.4,135.3333,Osaka,99328.0
11853,Kani,35.4261,137.0613,Gifu,99545.0
11858,Chikusei,36.3071,139.9831,Ibaraki,99758.0
11878,Tsuyama,35.0692,134.0044,Okayama,99410.0
11885,Sakata,38.9145,139.8364,Yamagata,99235.0
11901,Itoshima,33.5539,130.1978,Fukuoka,98527.0
11913,Saku,36.2488,138.4769,Nagano,98292.0
11928,Chitose,42.821,141.6509,Hokkaido,97945.0
11940,Munakata,33.8,130.5333,Fukuoka,97041.0
11983,Iida,35.515,137.8214,Nagano,96642.0
11998,Omura,32.9,129.9583,Nagasaki,95619.0
12009,Kamisu,35.8899,140.6645,Ibaraki,95471.0
12032,Shimada,34.8363,138.1927,Shizuoka,95198.0
12069,Kanuma,36.5671,139.7451,Tochigi,94591.0
12080,Shibata,37.9479,139.3273,Niigata,94258.0
12091,Azumino,36.3039,137.9058,Nagano,93927.0
12101,Sanjo,37.6368,138.9617,Niigata,93671.0
12102,Higashi-Matsuyama,36.0422,139.3999,Saitama,92440.0
12138,Hanamaki Onsen,39.3886,141.1169,Iwate,92815.0
12158,Kitakami,39.2867,141.1132,Iwate,92348.0
12172,Satsumasendai,31.8167,130.3,Kagoshima,91875.0
12209,Imizucho,36.7306,137.0756,Toyama,90201.0
12241,Mihara,34.4,133.0833,Hiroshima,89972.0
12311,Koka,34.9667,136.1667,Shiga,88538.0
12335,Sakai,36.1669,136.2314,Fukui,87945.0
12377,Fukuroi,34.7502,137.9247,Shizuoka,86851.0
12391,Mobara,35.4285,140.2881,Chiba,86446.0
12427,Gotenba,35.3087,138.9346,Shizuoka,86334.0
12437,Kameoka,35.0167,135.5667,Kyoto,86112.0
12449,Kaizuka,34.4333,135.3667,Osaka,84356.0
12461,Iga,34.7667,136.1333,Mie,85883.0
12466,Kitakoriyamacho,34.65,135.7833,Nara,84007.0
12467,Ushiku,35.9794,140.1496,Ibaraki,84505.0
12475,Sekimachi,35.4958,136.918,Gifu,85636.0
12485,Chita,35.0,136.8667,Aichi,83881.0
12502,Takayama,36.146,137.2522,Gifu,85199.0
12511,Moriyama,35.0586,135.9942,Shiga,83567.0
12531,Yokotemachi,39.3113,140.5533,Akita,84556.0
12602,Nakatsu,33.5992,131.1906,Fukuoka,82714.0
12622,Omihachiman,35.1283,136.0981,Shiga,81545.0
12623,Muroran,42.3152,140.974,Hokkaido,81580.0
12627,Shikokuchuo,33.9833,133.55,Ehime,82320.0
12672,Kimitsu,35.3304,139.9027,Chiba,81355.0
12690,Kashiwazaki,37.3719,138.559,Niigata,81027.0
12704,Yonezawa,37.9222,140.1168,Yamagata,80795.0
12714,Gamagori,34.8431,137.2196,Aichi,79292.0
12715,Akiruno,35.7289,139.2941,Tokyo,79600.0
12718,Echizen,35.9035,136.1687,Fukui,80264.0
12751,Natori-shi,38.1715,140.8918,Miyagi,79250.0
12777,Gyoda,36.1389,139.4556,Saitama,78488.0
12779,Hanno,35.8557,139.3277,Saitama,79169.0
12788,Iwamizawa,43.1962,141.7759,Hokkaido,79361.0
12807,Mooka,36.4404,140.0134,Tochigi,78665.0
12822,Maizuru,35.4667,135.3833,Kyoto,78730.0
12823,Kizugawa,34.7333,135.8167,Kyoto,78035.0
